 PREM anisotropic @ 35 mhz                                                        ref per = -28.6 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
   260   2570000.0    11116.09     9310.85     9310.85        0.00        0.00     1.00000   999999.00    57823.00
   261   2580000.0    11105.23     9300.17     9300.17        0.00        0.00     1.00000   999999.00    57823.00
   262   2590000.0    11094.32     9289.43     9289.43        0.00        0.00     1.00000   999999.00    57823.00
   263   2600000.0    11083.36     9278.63     9278.63        0.00        0.00     1.00000   999999.00    57823.00
   264   2610000.0    11072.35     9267.77     9267.77        0.00        0.00     1.00000   999999.00    57823.00
   265   2620000.0    11061.29     9256.86     9256.86        0.00        0.00     1.00000   999999.00    57823.00
   266   2630000.0    11050.17     9245.88     9245.88        0.00        0.00     1.00000   999999.00    57823.00
   267   2640000.0    11039.01     9234.85     9234.85        0.00        0.00     1.00000   999999.00    57823.00
   268   2650000.0    11027.79     9223.76     9223.76        0.00        0.00     1.00000   999999.00    57823.00
   269   2660000.0    11016.52     9212.61     9212.61        0.00        0.00     1.00000   999999.00    57823.00
   270   2670000.0    11005.20     9201.39     9201.39        0.00        0.00     1.00000   999999.00    57823.00
   271   2680000.0    10993.82     9190.12     9190.12        0.00        0.00     1.00000   999999.00    57823.00
   272   2690000.0    10982.40     9178.79     9178.79        0.00        0.00     1.00000   999999.00    57823.00
   273   2700000.0    10970.92     9167.39     9167.39        0.00        0.00     1.00000   999999.00    57823.00
   274   2710000.0    10959.39     9155.94     9155.94        0.00        0.00     1.00000   999999.00    57823.00
   275   2720000.0    10947.80     9144.42     9144.42        0.00        0.00     1.00000   999999.00    57823.00
   276   2730000.0    10936.17     9132.84     9132.84        0.00        0.00     1.00000   999999.00    57823.00
   277   2740000.0    10924.48     9121.20     9121.20        0.00        0.00     1.00000   999999.00    57823.00
   278   2750000.0    10912.73     9109.49     9109.49        0.00        0.00     1.00000   999999.00    57823.00
   279   2760000.0    10900.94     9097.72     9097.72        0.00        0.00     1.00000   999999.00    57823.00
   280   2770000.0    10889.09     9085.89     9085.89        0.00        0.00     1.00000   999999.00    57823.00
   281   2780000.0    10877.18     9074.00     9074.00        0.00        0.00     1.00000   999999.00    57823.00
   282   2790000.0    10865.23     9062.04     9062.04        0.00        0.00     1.00000   999999.00    57823.00
   283   2800000.0    10853.22     9050.02     9050.02        0.00        0.00     1.00000   999999.00    57823.00
   284   2810000.0    10841.15     9037.93     9037.93        0.00        0.00     1.00000   999999.00    57823.00
   285   2820000.0    10829.04     9025.78     9025.78        0.00        0.00     1.00000   999999.00    57823.00
   286   2830000.0    10816.86     9013.56     9013.56        0.00        0.00     1.00000   999999.00    57823.00
   287   2840000.0    10804.64     9001.28     9001.28        0.00        0.00     1.00000   999999.00    57823.00
   288   2850000.0    10792.36     8988.93     8988.93        0.00        0.00     1.00000   999999.00    57823.00
   289   2860000.0    10780.02     8976.52     8976.52        0.00        0.00     1.00000   999999.00    57823.00
   290   2870000.0    10767.63     8964.03     8964.03        0.00        0.00     1.00000   999999.00    57823.00
